video_id,song_id,ChannelName,SongName,ViewCount,URL,LikeCount
0,514,Radiohead - Topic,Exit Music (For A Film),10644157.0,https://www.youtube.com/watch?v=Bf01riuiJWA,171322.0
1,8826,Norah Jones - Topic,The Nearness Of You,1861370.0,https://www.youtube.com/watch?v=hsczuCzyUs4,15370.0
2,12253,Weezer - Topic,I Just Threw Out The Love Of My Dreams,3129400.0,https://www.youtube.com/watch?v=r2dosVRzLSM,55806.0
3,12695,The Beach Boys - Topic,I Get Around (Mono),3349326.0,https://www.youtube.com/watch?v=RZRme62DaXE,52554.0
4,6534,Alice in Chains - Topic,Down In A Hole (2022 Remaster),12622307.0,https://www.youtube.com/watch?v=E17hqs4Un-k,161628.0
5,14401,Sufjan Stevens - Topic,Futile Devices (Doveman Remix),1221363.0,https://www.youtube.com/watch?v=UEBPTUbpLoY,17659.0
6,1458,Jimi Hendrix - Topic,Castles Made of Sand,131571.0,https://www.youtube.com/watch?v=0MCCvY2oD2w,12703.0
7,12719,Steely Dan - Topic,Any Major Dude Will Tell You,2151959.0,https://www.youtube.com/watch?v=HBzzdlpISFg,18090.0
8,12737,Steely Dan - Topic,Deacon Blues,749075.0,https://www.youtube.com/watch?v=ICK6e9WK2A8,8706.0
9,1673,Dusty Springfield - Topic,Spooky,1770311.0,https://www.youtube.com/watch?v=h8bAbvk5Hs4,28281.0
10,14787,Natalie Cole - Topic,Our Love Is Here To Stay,59548.0,https://www.youtube.com/watch?v=VzSFPeddTHM,510.0
11,8638,Rammstein - Topic,Armee der Tristen,9635139.0,https://www.youtube.com/watch?v=t-NUBR2kufw,74524.0
12,6888,Audioslave - Topic,Sound Of A Gun,670293.0,https://www.youtube.com/watch?v=VMwzrE26G7U,10690.0
13,10157,Tito el Bambino - Topic,"Sol, Playa Y Arena",4599562.0,https://www.youtube.com/watch?v=dR6MvpVQSZA,35621.0
14,1765,Amy Winehouse - Topic,He Can Only Hold Her,4550663.0,https://www.youtube.com/watch?v=lzKQ9I-2AXY,43893.0
15,600,Three Days Grace - Topic,Time of Dying,52436238.0,https://www.youtube.com/watch?v=05wXNKzOkRM,449452.0
16,2737,Bob Seger - Topic,Old Time Rock & Roll,76823002.0,https://www.youtube.com/watch?v=W1LsRShUPtY,664072.0
17,5188,RADWIMPS - Topic,Sparkle - movie ver.,26634039.0,https://www.youtube.com/watch?v=-J9FuvPmMoI,195971.0
18,5204,RADWIMPS - Topic,Nandemonaiya - movie ver.,37294320.0,https://www.youtube.com/watch?v=n89SKAymNfA,376115.0
19,90,Brandi Carlile - Topic,Heart's Content,532978.0,https://www.youtube.com/watch?v=lkHSmOIXmK8,7098.0
20,2750,Troye Sivan - Topic,Strawberries & Cigarettes,74822101.0,https://www.youtube.com/watch?v=Mw5mAozjC6M,652947.0
21,390,The Neighbourhood - Topic,Cry Baby,43965611.0,https://www.youtube.com/watch?v=r4LGe12tNR8,429025.0
22,8540,Mitski - Topic,Francis Forever,17555053.0,https://www.youtube.com/watch?v=UMJm_97QXHA,289882.0
23,8504,Glass Animals - Topic,The Other Side Of Paradise,54569746.0,https://www.youtube.com/watch?v=RMPX_vgqQnM,653908.0
24,725,Justine Skye - Topic,Collide (Sped Up Remix),15019701.0,https://www.youtube.com/watch?v=o7cDwmUBFmg,194076.0
25,8522,Cavetown - Topic,Devil Town,54813680.0,https://www.youtube.com/watch?v=KvaxYUfGHnk,755551.0
26,8578,Cavetown - Topic,Meteor Shower,14167793.0,https://www.youtube.com/watch?v=vxG1HlT8n-I,188760.0
27,1980,keshi - Topic,i swear i'll never leave again,2452215.0,https://www.youtube.com/watch?v=AJ75-7IIjRs,26989.0
