artist_id,Name,ListenersCount,PeakListeners
0,The Weeknd,107592328,113034886
1,Taylor Swift,101003302,101003302
2,Ed Sheeran,76475126,87934910
3,Dua Lipa,76421916,77778397
4,Bad Bunny,76162057,83950570
5,Rihanna,75784389,80958750
6,Drake,75371611,76391086
7,Justin Bieber,72623228,75467229
8,Billie Eilish,71793820,72368528
9,Miley Cyrus,71277599,84140935
10,David Guetta,70838823,75163500
11,Travis Scott,67161542,75422869
12,Ariana Grande,66501219,82981758
13,Coldplay,65709359,69814134
14,Calvin Harris,65035055,67342768
15,Shakira,64372012,82268835
16,Eminem,64022485,68591390
17,Post Malone,63914311,67066636
18,Bruno Mars,63867677,63867677
19,Doja Cat,63625260,63625260
20,Nicki Minaj,62742304,65680733
21,SZA,61778853,69932543
22,Harry Styles,59560609,66411599
23,Olivia Rodrigo,58763998,58763998
24,Imagine Dragons,58675255,61624656
25,Kanye West,58060520,58060520
26,Maroon 5,57136964,58793104
27,Marshmello,57114865,58346399
28,KAROL G,56787835,59143777
29,Lana Del Rey,56710801,56740687
30,Sam Smith,56001427,73972799
31,21 Savage,55901908,61319583
32,Selena Gomez,55309116,58879269
33,Daddy Yankee,54174801,58098739
34,Lady Gaga,52765199,57730508
35,Metro Boomin,52207822,62911430
36,Future,52074976,58360653
37,Khalid,51957671,54186217
38,J Balvin,51590178,54792335
39,BeyoncÃ©,51442770,55563018
40,Adele,51380385,53902159
41,Katy Perry,51148181,53998988
42,Peso Pluma,50247712,53877990
43,Elton John,48343456,50362330
44,Queen,47586054,48573860
45,Chris Brown,47450314,54390450
46,Kendrick Lamar,47391930,54045549
47,OneRepublic,47384563,50035577
48,Myke Towers,47028831,47235005
49,Rauw Alejandro,46559302,52131934
50,Ozuna,45879131,51532028
51,Arctic Monkeys,45790038,45790038
52,Sia,45728333,47868578
53,Shawn Mendes,44310129,46917936
54,Bebe Rexha,43999789,49496274
55,TiÃ«sto,43284312,46094072
56,Halsey,42532070,45939636
57,Bizarrap,42259038,54300662
58,Charlie Puth,41537987,42603508
59,Ice Spice,41330265,47203544
60,J. Cole,41053576,44549954
61,Ellie Goulding,40958180,45626754
62,Anne-Marie,40359289,41501481
63,Madonna,40170466,42630784
64,Black Eyed Peas,39759009,41190019
